
   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     1     1  2010     0     1   454   294   205   239

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     0     6     3   495   535   473    63     0  8114

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
    15    15    15    15    87    99   108   127  3438    30

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  STAB  DTDZ ECH T     T    ST PRESS

  1250   433   596   320     4   -50    34 -9999     3    -9 -9999   209 -9999   872
  1150   521   504   301     4   -35    35 -9999     3    -8 -9999   214 -9999   882
  1050   456   446   295     4   -21    38 -9999     3    -9 -9999   217 -9999   893
   950   371   401   299     4    -6    31 -9999     3    -9 -9999   222 -9999   904
   850   373   416   303     4    -3    35 -9999     3   -10 -9999   228 -9999   915
   750   464   419   309     5   -10    49 -9999     3   -10 -9999   234 -9999   926
   650   804   417   319     9    -4    46 -9999     3    -6 -9999   240 -9999   938
   550  1035   434   328     9     1    44 -9999     3    -3 -9999   240 -9999   949
   450  1157   540   312     5     2    43 -9999     3    -1 -9999   237 -9999   960
   350   998   599   307     5     7    26 -9999     2     2  3309   234    52   972
   250   951   599   307     5     8    24 -9999     2     2  3085   239    97   984
   150  1017   480   314     6     4    38   658     3    -2 18236   222    75   995
$

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     1     1  2010     3     2   111    98    50   156

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     9     2     6     2   515   462   443    53     0  8114

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   106    98   106   126    37    30

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  STAB  DTDZ ECH T     T    ST PRESS

  3050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   697
  2950   378  1732    30 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   705
  2850   331  1497    35 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   714
  2750   322  1267    43 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   724
  2650   320  1095    55 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   733
  2550   324   998    70 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   742
  2450   397   980    87 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   751
  2350 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   761
  2250 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   771
  2150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   780
  2050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   790
  1950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   800
  1850 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   810
  1750 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   820
  1650 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   830
  1550 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   840
  1450 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   851
  1350 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   861
  1250 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   872
  1150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   882
  1050 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   893
   950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999   904
   850   373   528    90     7 -9999    20 -9999     3     0 -9999 -9999 -9999   915
   750   589   606    56     8 -9999    18   750     3    10 -9999 -9999 -9999   926
   650   736   697    45     7    -9    23   650     3    12 -9999 -9999 -9999   938
   550   842   667    49     7    -8    20   550     3    19 -9999 -9999 -9999   949
   450   907   650    52     8    -8    10   450     3    43 -9999 -9999 -9999   960
   350   728   603    58     9    -4    16   350     3    19  1721   249    79   972
   250   687   583    60     9    -3    19   250     3    14  1196   237    88   984
   150   785   567    53     8    -6    19   337     3    18 14441   221    52   995
$

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     1     1  2010     4     1    67   191   155   345

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     8     2     1    10   525   472   463    54     0  8114

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
    15    15    15    15    96    97    99   116    38    30

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  STAB  DTDZ ECH T     T    ST PRESS

